Risk #,The Risk of/That,Likelihood Score,Impact Score
1,Interest coverage ratio falling below safe levels,7,9
2,Failure to achieve $10B Seagen 2030 revenue target,7,9
3,IRA Medicare drug-price negotiations compress Seagen ADC revenue,8,8
4,FDA Complete Response Letter (CRL) or labelling restriction on Seagen pipeline ADC submissions,6,7
5,Patent cliff and ADCETRIS biosimilar entry risk,6,8
6,Key ADC talent attrition from former Seagen organization,8,9
7,ADC manufacturing scale-up failure at Seagen's Bothell facility,6,8
8,Clinical trial continuity disruption across Seagen's 30+ active INDs,5,7
9,IT systems and data harmonization cost overrun and timeline delay,5,6
10,ADC combination therapy first-mover opportunity (Positive Risk),7,8
11,Synergy realization shortfall against $1B target,6,7
12,Goodwill impairment and DCF value erosion,5,9
13,Free cash flow and dividend sustainability pressure,6,8
14,Antitrust post-close compliance and FTC ongoing scrutiny,4,6
15,Active litigation and ADC IP dispute risk,5,8
16,R&D pipeline integration disruption across 60 combined programs,6,8
